      Time          Predicted AE
2013/156-04:10:00      268.9
2013/156-04:20:00      289.9
2013/156-04:30:00      279.7
2013/156-04:40:00      265.8
2013/156-04:50:00      252.0
2013/156-05:00:00      241.3
2013/156-05:10:00      221.7
2013/156-05:20:00      200.8
2013/156-05:30:00      179.0
2013/156-05:40:00      159.1
2013/156-05:50:00      140.4
2013/156-06:00:00      124.5
2013/156-06:10:00      112.7
2013/156-06:20:00      105.1
2013/156-06:30:00       98.7
2013/156-06:40:00       91.1
2013/156-06:50:00       84.6
2013/156-07:00:00       79.9
2013/156-07:10:00       79.5
2013/156-07:20:00       83.2
2013/156-07:30:00       98.4
2013/156-07:40:00      109.6
2013/156-07:50:00      113.9
2013/156-08:00:00      117.8
2013/156-08:10:00      131.5
2013/156-08:20:00      146.5
2013/156-08:30:00      157.2
2013/156-08:40:00      165.1
2013/156-08:50:00      173.0
2013/156-09:00:00      172.8
2013/156-09:10:00      181.8
2013/156-09:20:00      208.4
2013/156-09:30:00      239.6
2013/156-09:40:00      270.0
2013/156-09:50:00      296.9
2013/156-10:00:00      314.0
2013/156-10:10:00      314.1
2013/156-10:20:00      306.2
2013/156-10:30:00      289.3
2013/156-10:40:00      275.1
2013/156-10:50:00      254.0
2013/156-11:00:00      234.1
2013/156-11:10:00      213.2
2013/156-11:20:00      193.9
2013/156-11:30:00      176.1
2013/156-11:40:00      166.5
2013/156-11:50:00      165.9
2013/156-12:00:00      176.8
2013/156-12:10:00      174.3
2013/156-12:20:00      163.9
2013/156-12:30:00      153.0
2013/156-12:40:00      145.9
2013/156-12:50:00      137.2
2013/156-13:00:00      128.1
2013/156-13:10:00      119.3
2013/156-13:20:00      110.7
2013/156-13:30:00      102.3
2013/156-13:40:00       95.2
2013/156-13:50:00       90.8
2013/156-14:00:00       86.3
2013/156-14:10:00       85.5
2013/156-14:20:00       92.0
2013/156-14:30:00       93.0
2013/156-14:40:00       93.1
2013/156-14:50:00       92.1
2013/156-15:00:00       97.2
2013/156-15:10:00      101.9
2013/156-15:20:00      105.4
2013/156-15:30:00      106.8
2013/156-15:40:00      106.9
2013/156-15:50:00      109.9
2013/156-16:00:00      116.8
2013/156-16:10:00      123.8
2013/156-16:20:00      132.0
2013/156-16:30:00      137.3
2013/156-16:40:00      143.1
2013/156-16:50:00      150.0
2013/156-17:00:00      157.2
2013/156-17:10:00      164.9
2013/156-17:20:00      174.1
2013/156-17:30:00      180.8
2013/156-17:40:00      177.8
2013/156-17:50:00      175.1
2013/156-18:00:00      175.0
2013/156-18:10:00      172.2
2013/156-18:20:00      160.8
2013/156-18:30:00      150.1
2013/156-18:40:00      143.0
2013/156-18:50:00      145.4
2013/156-19:00:00      152.7
2013/156-19:10:00      157.4
2013/156-19:20:00      151.1
2013/156-19:30:00      144.7
2013/156-19:40:00      146.0
2013/156-19:50:00      154.4
2013/156-20:00:00      166.9
2013/156-20:10:00      182.9
2013/156-20:20:00      193.3
2013/156-20:30:00      196.0
2013/156-20:40:00      197.1
2013/156-20:50:00      202.2
2013/156-21:00:00      207.5
2013/156-21:10:00      222.5
2013/156-21:20:00      244.0
2013/156-21:30:00      261.5
2013/156-21:40:00      267.6
2013/156-21:50:00      263.9
2013/156-22:00:00      260.0
2013/156-22:10:00      252.4
2013/156-22:20:00      243.5
2013/156-22:30:00      234.3
2013/156-22:40:00      221.2
2013/156-22:50:00      204.5
2013/156-23:00:00      187.0
2013/156-23:10:00      173.2
2013/156-23:20:00      167.5
2013/156-23:30:00      154.3
2013/156-23:40:00      142.5
